"date","lab","MatarianoBayin_surface_elevation","MatarianoBayin_water_temp_0","MatarianoBayin_salinity_0","MatarianoBayin_velocity_u_0","MatarianoBayin_velocity_v_0","MatarianoBayin_pr_wtr","MatarianoBayin_precipitationCal","MatarianoBayfar_surface_elevation","MatarianoBayfar_water_temp_0","MatarianoBayfar_salinity_0","MatarianoBayfar_velocity_u_0","MatarianoBayfar_velocity_v_0","MatarianoBayfar_water_temp_100","MatarianoBayfar_salinity_100","MatarianoBayfar_velocity_u_100","MatarianoBayfar_velocity_v_100"
"2008-04-03",FALSE,899.678571428571,"14254.7857142857","8519.07142857143","-85.7142857142857","30.0357142857143",41.0964279174805,0.370975699275732,904.428571428571,"14180.4285714286","8816.53571428571","-227.5","362.392857142857","14688.5892857143","5603.05357142857","36.7142857142857","-179.035714285714"
"2008-04-10",FALSE,955.892857142857,"14136.25","8367.14285714286","-80.9285714285714","-2.25",39.6821441650391,0.293580625206232,956.446428571429,"14092.5535714286","8613.16071428571","-234.428571428571","300.428571428571","14691.8035714286","6274.30357142857","56.3571428571429","-135.25"
"2008-04-17",FALSE,903.035714285714,"14125.9285714286","8545.92857142857","-115.928571428571","47.2857142857143",44.0321426391602,0.610492557287216,906,"14125.3035714286","8750.05357142857","-253.428571428571","341.982142857143","14591.5178571429","5585.91071428571","34.125","-159.107142857143"
"2008-04-24",FALSE,907.25,"14175.5357142857","8420.28571428571","-79.1785714285714","17.5714285714286",39.9500007629395,0.0892134383320808,912.375,"14103.7142857143","8742.08928571429","-263.732142857143","541.375","14537.4285714286","5060.25","44.625","-166.339285714286"
"2008-05-01",FALSE,938.857142857143,"14067.4285714286","8487","-102.107142857143","44.3928571428571",52.4535713195801,0.839899659156799,943.982142857143,"14034.0892857143","8768.26785714286","-267.946428571429","542.964285714286","14425.3035714286","5730.76785714286","58.0357142857143","-145.196428571429"
"2008-05-08",FALSE,964.357142857143,"14101.1071428571","8963.21428571429","-56.9642857142857","12.6428571428571",47.4035720825195,0.488813504576683,965.964285714286,"14028.125","9192.01785714286","-166.357142857143","259.196428571429","14457.6964285714","6540.85714285714","102.125","-81.5714285714286"
"2008-05-15",FALSE,995.214285714286,"14121.8928571429","8669.67857142857","13.8928571428571","7.85714285714286",53.8785705566406,0.158783413469791,998.803571428571,"14079.4821428571","8760.55357142857","-23.3035714285714","248.767857142857","14531.5178571429","6570.21428571429","121.875","-70.2321428571429"
"2008-05-22",FALSE,905,"14285.2857142857","8459.39285714286","-31.6785714285714","39.0357142857143",49.7071418762207,0.0795052070170641,918.607142857143,"14228.4285714286","8856.32142857143","-191.589285714286","654.303571428571","14633.5714285714","6141.83928571429","7.75","129.803571428571"
"2008-05-29",FALSE,877.464285714286,"14260.4642857143","8609.32142857143","-10.9285714285714","-23.5357142857143",47.2107162475586,0.422082364559174,875.589285714286,"14265.4285714286","8905","-129.875","355.375","14525.7321428571","5571.78571428571","26.1964285714286","76.5535714285714"
"2008-06-05",FALSE,975.321428571429,"14267.0357142857","8835.82142857143","-61.6785714285714","38.8214285714286",46.1892852783203,0.314348176121712,974.767857142857,"14238.8214285714","9068.39285714286","-106.732142857143","95.0178571428571","14443.8035714286","6647.05357142857","153.339285714286","-228.553571428571"
