"","mindorosal","mindorotemp","sibuyantemp","sibuyansal","sibuyanvelu","sibuyanvelv","southsibuyansal","southsibuyantemp","southsibuyanvelu","southsibuyanvelv","surigaosal","surigaotemp","surigaovelu","surigaovelv","tablassal","tablastemp","tablasvelu","tablasvelv","visayansal","visayantemp","visayanvelu","visayanvelv","mindorovelu","mindorovelv"
"11",13561.832492469,28.0765442477486,27.1778146737438,14151.9631381677,-150.802965335331,-6.53293145161424,14096.5380650132,27.3514112843565,-147.014420657666,-13.4888583538123,14255.0615679092,27.7425305243689,-334.453470603429,-153.883269112865,14036.213323456,27.0422567061462,-114.661910761599,-166.851467638862,14290.5340080848,27.2780780884521,-155.368010426379,4.72398756231437,40.945726456752,-140.192755924385
"12",13564.8997483515,28.0544432598246,27.1471078429754,14154.5048167906,-150.876627994112,-6.42095376127653,14098.6891624584,27.3207857930421,-147.302125515846,-13.2101506095642,14256.5032520633,27.7198908977626,-337.707691789533,-155.336608368062,14039.1388547934,27.0108092606135,-114.803859032157,-166.212133412569,14292.8156503752,27.2521745395919,-156.401861561401,4.74630225842715,39.2812337505465,-138.717569613364
"13",13567.9931420148,28.0327664566498,27.1170910027322,14157.0609086678,-150.941814839277,-6.29570909840525,14100.8260323111,27.2907036689524,-147.569378871459,-12.9097438298525,14257.9493921182,27.6976198328893,-340.950456519261,-156.788439713156,14042.0699039442,26.9799895864694,-114.930742052666,-165.542323140262,14295.071054694,27.2268595348574,-157.419065122716,4.78857496852615,37.5742888083183,-137.196416765579
"14",13571.1129343484,28.0115381392052,27.087793630512,14159.630656374,-150.999540357609,-6.157234575697,14102.9483318767,27.2611939717196,-147.816811265142,-12.5879771765336,14259.3994475785,27.6757347853764,-344.180511219435,-158.237750519581,14045.0056023753,26.9498278225128,-115.043103719443,-164.843084436443,14297.2999278581,27.2021544225193,-158.419871561704,4.85080352628775,35.8249239365694,-135.629822851566
"15",13574.2593909983,27.9907822372669,27.0592447076126,14162.2132984377,-151.05079594813,-6.00557122614141,14105.0557551812,27.2322854074304,-148.045050275479,-12.2452058614723,14260.8528761576,27.6542529732888,-347.396590386673,-159.683529145192,14047.9450801759,26.9203536789078,-115.141481025339,-164.115471212526,14299.5020045134,27.1780801519449,-159.404520507548,4.93297264494174,34.033229040106,-134.018340881491
"16",13577.4327808772,27.9705222814091,27.0314726864854,14164.8080695661,-151.096548433057,-5.8407639908621,14107.1480326798,27.2040062964613,-148.254719502329,-11.881800733292,14262.3091340718,27.6331913593053,-350.597417327872,-161.124765924034,14050.8874663152,26.8915964037607,-115.226403224719,-163.360542361014,14301.6770467451,27.1546572512378,-160.373240060739,5.03505391806424,32.1993521032195,-132.362551136045
"17",13580.6333746617,27.9507813754324,27.0045054586084,14167.4142008726,-151.137738607428,-5.66286170579972,14109.2249309152,27.176384541674,-148.446437562795,-11.498147848337,14263.7676763354,27.6125666331331,-353.781704922157,-162.560454154423,14053.8318889008,26.8635847501393,-115.298391014804,-162.579360442272,14303.8248436567,27.1319058052799,-161.326246109334,5.15700583280464,30.3234995996877,-130.663060872696
"18",13583.8614432765,27.9315821692504,26.978370322918,14170.0309201043,-151.175279829233,-5.47191708724078,14111.2862521294,27.1494475970081,-148.620817101095,-11.0946480263493,14265.227957057,27.5923951941779,-356.948156403655,-163.989591084235,14056.7774754367,26.8363469435743,-115.35795573443,-161.772990375445,14305.9452109186,27.1098454342015,-162.263741668895,5.29877379553677,28.4059368309375,-128.920504007541
"19",13587.1172563688,27.9129468322664,26.9530939548362,14172.6574518708,-151.210056651784,-5.26798671619667,14113.3318338271,27.1232224365088,-148.778463813584,-10.6717163913859,14266.6894297356,27.572693134492,-360.095466164354,-165.411178892287,14059.723353082,26.8099106500803,-115.4055985812,-160.94249813512,14308.037990287,27.0884952723038,-163.185916247026,5.46029016991097,26.4469881917942,-127.135540773003
"20",13590.4010807754,27.8948970272718,26.9287023759288,14175.293017874,-151.242923500053,-5.05113102163752,14115.3615482921,27.0977355238242,-148.919975490161,-10.2297818985122,14268.1515475576,27.5534762220169,-363.222320576329,-166.82422566472,14062.6686489097,26.7843029447343,-115.441809848037,-160.08894945525,14310.1030490934,27.0678739474588,-164.092945233362,5.64147432726977,24.4470373633323,-125.308857351675
