"","lon","lat","velocity_u_10","velocity_v_10","vel","date","day"
"9429",125.090403313643,9.83655236110876,-211.767857142857,-104.946428571429,236.345886760856,2018-12-13,347
"9430",125.180234842055,9.83655236110876,-311.571428571429,-158.303571428571,349.480723115141,2018-12-13,347
"9431",125.270066370467,9.83655236110876,-378.160714285714,-218.482142857143,436.737876278816,2018-12-13,347
"9432",125.359897898879,9.83655236110876,-311.392857142857,-471.232142857143,564.823197063759,2018-12-13,347
"9433",124.910740256819,9.5670577758729,-72.2857142857143,-107.857142857143,129.83985426325,2016-11-07,312
"9434",125.000571785231,9.5670577758729,-71.1428571428571,-78.2857142857143,105.782603407524,2016-11-07,312
"9435",125.090403313643,9.5670577758729,-68.1428571428571,-77,102.822414772227,2016-11-07,312
"9436",125.180234842055,9.5670577758729,-56.2857142857143,-58.8571428571429,81.4385958741872,2016-11-07,312
"9437",125.270066370467,9.5670577758729,-36.5714285714286,-30.5714285714286,47.6663574510688,2016-11-07,312
"9438",125.359897898879,9.5670577758729,-12.7142857142857,-17.2857142857143,21.4580749274448,2016-11-07,312
"9439",124.910740256819,9.65688930428486,-58.4285714285714,-115.571428571429,129.501556211593,2016-11-07,312
"9440",125.000571785231,9.65688930428486,-66.2857142857143,-70,96.4043355786831,2016-11-07,312
"9441",125.090403313643,9.65688930428486,-75.1428571428571,-79.7142857142857,109.548237441461,2016-11-07,312
"9442",125.180234842055,9.65688930428486,-72.4285714285714,-77.4285714285714,106.023967255772,2016-11-07,312
"9443",125.270066370467,9.65688930428486,-52.5714285714286,-57.1428571428571,77.6470297209738,2016-11-07,312
"9444",125.359897898879,9.65688930428486,-19.1428571428571,-65.1428571428571,67.8972813618228,2016-11-07,312
"9445",124.910740256819,9.74672083269681,-23.7142857142857,-122,124.283415413879,2016-11-07,312
"9446",125.000571785231,9.74672083269681,-32.8571428571429,-55.8571428571429,64.8044153194669,2016-11-07,312
"9447",125.090403313643,9.74672083269681,-45.8571428571429,-67.4285714285714,81.5444038295601,2016-11-07,312
"9448",125.180234842055,9.74672083269681,-56.7142857142857,-82.4285714285714,100.054882898521,2016-11-07,312
"9449",125.270066370467,9.74672083269681,-56.7142857142857,-75,94.0293050281753,2016-11-07,312
"9450",125.359897898879,9.74672083269681,-26.7142857142857,-166.714285714286,168.841067641877,2016-11-07,312
"9451",124.910740256819,9.83655236110876,16,-120.142857142857,121.203573059745,2016-11-07,312
"9452",125.000571785231,9.83655236110876,3.71428571428571,-23.2857142857143,23.5800849905861,2016-11-07,312
"9453",125.090403313643,9.83655236110876,-2.57142857142857,-40.8571428571429,40.9379819647591,2016-11-07,312
"9454",125.180234842055,9.83655236110876,-23.4285714285714,-68.7142857142857,72.5985607323462,2016-11-07,312
"9455",125.270066370467,9.83655236110876,-68.5714285714286,-50.1428571428571,84.9490843904483,2016-11-07,312
"9456",125.359897898879,9.83655236110876,-97.1428571428571,-320.714285714286,335.103547810378,2016-11-07,312
"9457",124.910740256819,9.5670577758729,-241.571428571429,-134.142857142857,276.316957902496,2013-06-21,172
"9458",125.000571785231,9.5670577758729,-318.428571428571,-155.857142857143,354.525322200873,2013-06-21,172
"9459",125.090403313643,9.5670577758729,-344.142857142857,-205.142857142857,400.646849431246,2013-06-21,172
"9460",125.180234842055,9.5670577758729,-304.142857142857,-224.142857142857,377.813310987297,2013-06-21,172
"9461",125.270066370467,9.5670577758729,-200.857142857143,-195.714285714286,280.441925306092,2013-06-21,172
"9462",125.359897898879,9.5670577758729,-68.8571428571429,-36.7142857142857,78.0336138978529,2013-06-21,172
"9463",124.910740256819,9.65688930428486,-169.428571428571,-104.857142857143,199.251251500435,2013-06-21,172
"9464",125.000571785231,9.65688930428486,-322.571428571429,-148.285714285714,355.022505753983,2013-06-21,172
"9465",125.090403313643,9.65688930428486,-384.714285714286,-218.142857142857,442.257151163327,2013-06-21,172
"9466",125.180234842055,9.65688930428486,-377.714285714286,-290.571428571429,476.54993099852,2013-06-21,172
"9467",125.270066370467,9.65688930428486,-265.571428571429,-336.142857142857,428.392581730394,2013-06-21,172
"9468",125.359897898879,9.65688930428486,-103,-236.142857142857,257.628509640513,2013-06-21,172
"9469",124.910740256819,9.74672083269681,-83,-50,96.8968523740581,2013-06-21,172
"9470",125.000571785231,9.74672083269681,-232,-80.8571428571429,245.686543284366,2013-06-21,172
"9471",125.090403313643,9.74672083269681,-316.428571428571,-129.714285714286,341.983679047252,2013-06-21,172
"9472",125.180234842055,9.74672083269681,-366.714285714286,-229.571428571429,432.645823004528,2013-06-21,172
"9473",125.270066370467,9.74672083269681,-306.285714285714,-370.857142857143,480.984364801678,2013-06-21,172
