"","date","status","surface_elevation","water_temp_0","salinity_0","velocity_u_0","velocity_v_0","pr_wtr","precipitationCal","surface_elevation","water_temp_0","salinity_0","velocity_u_0","velocity_v_0","water_temp_150","salinity_150","velocity_u_150","velocity_v_150"
"42","2012-01-08",1,754.003571428571,11402.0857142857,7459.79285714286,-65.8285714285714,-57.6160714285714,42.6678581237793,0.0195517449279058,791.08,13641.8228571429,7732.88,-116.005714285714,-173.92,14568.1011904762,-2162.22023809524,8.61904761904762,-51.8857142857143
"43","2012-01-15",1,725.408928571429,11513.9,7354.93571428571,-81.1571428571429,-55.7375,44.2999992370605,0.289391157031059,763.582857142857,13657.6285714286,7717.62857142857,-168.045714285714,-126.022857142857,14602.2619047619,-2170.96428571429,15.1409523809524,-43.9580952380952
"44","2012-01-22",1,754.596428571429,11621.3,7229.12857142857,-49.0571428571429,-27.0428571428571,43.2535705566406,0.0416605629292982,768.28,13574.6342857143,7938.57714285714,-101.691428571429,-42.2571428571429,14568.5595238095,-1290.22619047619,-10.4580952380952,-28.0580952380952
"45","2012-01-29",1,722.671428571429,11777.9,7098.94285714286,-66.3833333333333,-49.2309523809524,37.0750007629395,0.0109074068892889,762.308571428571,13611.4685714286,7579.42285714286,-131.371428571429,-160.337142857143,14532.8452380952,-1923.91666666667,1.05571428571429,-77.26
"46","2012-02-05",1,765.530952380952,11907.5571428571,7315.95714285714,-51.7059523809524,-39.727380952381,42.7642860412598,0.0223774774744275,789.582857142857,13631.3542857143,7647.00571428571,-115.88,-80.3828571428571,14434.9583333333,-1645.70833333333,26.96,-44.4914285714286
"47","2012-02-12",1,730.014285714286,12079.45,7018.88571428571,-52.01,-39.0528571428571,35.3821449279785,0.0202179155279217,749.68,13581.8571428571,7331.38285714286,-112.771428571429,-38.8914285714286,14432.1904761905,-732.696428571429,4.27714285714286,2.92857142857143
"48","2012-02-19",1,742.385714285714,12212.6285714286,6777.98571428571,-82.9535714285714,-39.2785714285714,53.9035720825195,0.484172486194542,767.908571428571,13695.5657142857,6780.51428571429,-171.805714285714,-53.0514285714286,14391.9107142857,492.053571428571,-2.05485714285714,-11.0902857142857
"49","2012-02-26",1,752.532142857143,12278.0285714286,7003.27142857143,-48.8428571428571,-41.5130952380952,42.7964286804199,0.1489311772698,774.48,13692.4857142857,7248.92571428571,-214.171428571429,-97.7657142857143,14406.7857142857,871.404761904762,-19.0171428571429,-37.5657142857143
"50","2012-03-04",1,773.535714285714,12357.6428571429,7738.15714285714,-57.3797619047619,-40.8535714285714,39.957145690918,0.0102813736728811,799.88,13695.1657142857,7727.88,-200.302857142857,-151.451428571429,14427.3869047619,1232.76785714286,-9.84571428571429,-77.68
"51","2012-03-11",1,733.728571428571,12511.2642857143,7999.4,-68.2428571428571,-34.0928571428571,36.8857154846191,0.00414431624314083,758.188571428571,13643.8571428571,7719.17714285714,-176.268571428571,-41.1085714285714,14430.4166666667,496.583333333333,9.93142857142857,-10.2790476190476
"52","2012-03-18",1,763.8,12609.6714285714,7790.12142857143,-54.2166666666667,-41.897619047619,41.7000007629395,0.109928027540445,786.125714285714,13709.8114285714,7468.29142857143,-147.754285714286,67.7028571428571,14330.5178571429,1215.17857142857,-3.68,-21.7542857142857
"53","2012-03-25",1,803.878571428571,12707.3285714286,8189.49285714286,-44.5,-37.8357142857143,49.5892868041992,0.389647567218968,827.491428571429,13758.7314285714,8082.85714285714,-131.451428571429,-125.228571428571,14134.6964285714,2712.98214285714,-15.1130952380952,-82.2916666666667
