,date,Sal
421,3/3/2021,34.17540327
422,12/14/2014,34.27125
423,7/6/2019,34.19241071
424,10/7/2012,34.1962381
425,12/11/2013,34.25492857
426,9/7/2015,34.41242857
427,7/8/2016,34.51047024
428,4/24/2021,34.21423586
429,2/15/2012,33.84521429
430,7/11/2018,34.20286905
431,3/26/2018,34.24860714
432,8/19/2017,34.11835833
433,9/26/2019,34.27506176
434,8/15/2017,34.13424583
435,9/9/2013,34.31583929
436,3/30/2020,34.34956101
437,7/2/2015,34.39343452
438,5/18/2021,34.26444271
439,2/2/2016,34.61526786
440,7/17/2014,34.35896429
441,8/13/2021,34.2314308
442,8/11/2020,34.23477307
443,10/28/2018,34.14594717
444,5/19/2017,34.22979291
445,10/2/2013,34.33694643
446,1/22/2016,34.59505357
447,6/7/2019,34.3613311
448,10/1/2020,34.18594048
449,12/27/2012,34.34063095
450,5/23/2013,34.37159524
451,7/11/2015,34.38276786
452,9/7/2020,34.18854539
453,7/26/2013,34.17950595
454,1/5/2020,34.25373289
455,1/13/2021,34.18083185
456,11/9/2017,34.02489286
457,1/28/2019,34.26272842
458,8/17/2017,34.10171296
459,11/28/2019,34.1938936
460,7/2/2017,34.14525893
461,5/18/2020,34.24514807
462,10/4/2016,34.47652381
463,5/20/2014,34.45874405
464,2/5/2018,34.17764881
465,4/15/2014,34.33641667
466,10/5/2014,34.34256548
467,6/17/2013,34.35191071
468,7/16/2017,34.17797619
469,8/8/2012,34.24126786
470,3/6/2015,34.35660714
471,8/29/2015,34.43983929
472,6/3/2020,34.27681771
473,9/17/2013,34.23535714
474,1/7/2016,34.58599405
475,5/21/2020,34.24205506
476,5/9/2014,34.46857738
477,1/30/2018,34.15949405
478,2/27/2021,34.15381771
479,10/24/2013,34.33526786
480,4/10/2012,34.16758929
481,9/2/2016,34.53794643
482,9/5/2013,34.22836905
483,7/4/2017,34.1488006
484,12/13/2013,34.25357143
485,4/6/2013,34.34247917
486,4/11/2016,34.53710714
487,3/16/2018,34.053825
488,11/2/2017,34.03229167
489,10/14/2020,34.16349405
490,10/2/2020,34.1824747
491,12/28/2018,34.13313244
492,3/19/2016,34.72957143
493,7/22/2018,34.17239881
494,1/17/2013,34.13867857
495,7/16/2016,34.39876389
496,7/15/2016,34.41276786
497,11/5/2017,33.9959881
498,5/3/2012,34.31160714
499,2/1/2019,34.27816592
500,8/8/2015,34.42713095
501,9/22/2017,34.10076282
502,2/19/2021,34.10980134
503,11/13/2014,34.02750595
504,11/9/2012,34.08884524
505,4/1/2012,34.17117857
506,6/12/2014,34.50691071
507,9/12/2015,34.44756548
508,9/5/2013,34.22836905
509,7/9/2016,34.50950595
510,8/28/2014,34.4222381
511,8/31/2021,34.20742039
512,7/14/2012,34.251125
513,3/13/2015,34.43086905
514,2/18/2018,34.22332143
515,2/20/2016,34.56208333
516,4/15/2015,34.44728571
517,6/24/2015,34.5147381
518,1/18/2014,34.45201786
519,2/19/2019,34.35900372
520,3/9/2014,34.38277381
521,12/16/2018,34.18673289
522,4/26/2018,34.2971369
523,2/16/2018,34.231625
524,6/10/2021,34.24190774
525,6/4/2015,34.57604167
526,2/2/2021,34.20916667
527,11/1/2012,34.11945238
528,5/2/2019,34.32891364
529,10/17/2013,34.37713095
530,5/4/2016,34.67169048
531,9/24/2021,34.19416146
532,6/27/2020,34.2546369
533,8/5/2019,34.20697396
534,10/17/2021,34.20159747
535,6/19/2021,34.2387247
536,7/12/2015,34.37880952
537,11/30/2019,34.20458929
538,2/11/2021,34.1727686
539,6/30/2012,34.35075595
540,7/14/2017,34.19128571
541,12/4/2020,34.11557887
542,2/4/2015,34.02480952
543,8/26/2014,34.42698214
544,3/24/2017,34.33533681
545,9/9/2018,34.14035714
546,4/12/2018,34.28136111
547,6/25/2013,34.38071528
548,3/4/2014,34.34879762
549,4/15/2019,34.29783185
550,8/25/2018,34.2665
551,4/6/2014,34.37115476
552,9/20/2021,34.23140551
553,7/26/2014,34.39635119
554,4/27/2012,34.31668452
555,9/5/2013,34.22836905
556,2/7/2019,34.29969643
557,9/18/2018,34.16969048
558,7/12/2020,34.23608557
559,4/10/2021,34.22572842
560,6/13/2015,34.45144048
561,7/19/2014,34.37154167
562,10/18/2017,34.00768333
563,5/25/2021,34.26445685
564,9/13/2013,34.27122024
565,2/8/2021,34.1904308
566,6/25/2018,34.21458929
567,4/21/2012,34.25444643
568,2/27/2021,34.15381771
569,4/19/2012,34.21826786
570,2/16/2019,34.34221057
571,10/12/2014,34.2410119
572,11/24/2019,34.1422381
573,3/20/2012,34.13410714
574,12/7/2016,34.41307143
575,6/5/2018,34.30630952
576,8/5/2016,34.42684524
577,9/9/2021,34.19327455
578,8/21/2017,34.11230556
579,3/1/2017,34.36952083
580,4/18/2018,34.26172024
581,3/27/2018,34.26542262
582,10/9/2019,34.19151711
583,3/20/2012,34.13410714
584,2/18/2021,34.09413393
585,9/2/2014,34.39855357
586,12/13/2012,34.31928571
587,4/30/2012,34.29727381
588,4/28/2017,34.05071212
589,5/30/2017,34.1047
590,11/13/2016,34.2931131
591,12/8/2015,34.31302381
592,6/17/2016,34.629375
593,12/28/2019,34.18118304
594,8/5/2016,34.42684524
595,10/5/2020,34.1732433
596,4/26/2019,34.33322396
597,6/2/2020,34.27835863
598,3/12/2019,34.35634896
599,7/2/2017,34.14525893
600,6/26/2020,34.25716443
601,4/26/2013,34.39322024
602,2/6/2019,34.28964955
603,4/19/2016,34.55072024
604,1/24/2016,34.624875
605,3/16/2015,34.44613889
606,12/21/2017,34.21784524
607,5/27/2015,34.63227381
608,6/24/2017,34.03856845
609,7/5/2021,34.24291815
610,11/17/2014,34.02625595
611,11/19/2018,34.17873313
612,1/1/2014,34.52946429
613,1/28/2016,34.63908929
614,4/8/2014,34.37277381
615,1/30/2021,34.17363765
616,8/3/2015,34.36053571
617,11/5/2018,34.12310357
618,11/16/2013,34.10767361
619,1/15/2016,34.44569048
620,5/3/2021,34.15373363
621,12/28/2014,34.364875
622,8/26/2013,34.29547024
623,9/8/2013,34.29614286
624,6/12/2016,34.61844048
625,6/27/2019,34.25932045
626,4/28/2021,34.18347991
627,4/9/2014,34.37392262
628,11/8/2020,34.11208036
629,1/14/2015,34.19411905
630,10/19/2018,34.11034375
631,7/4/2015,34.35689286
632,9/19/2020,34.15259598
633,2/3/2020,34.25297321
634,7/16/2016,34.39876389
635,8/9/2016,34.35244643
636,5/20/2016,34.74638095
637,12/29/2014,34.34507143
638,1/9/2019,34.16929762
639,7/14/2018,34.166125
640,1/3/2019,34.09839286
641,1/4/2013,34.29648214
642,9/2/2014,34.39855357
643,3/18/2021,34.24272247
644,11/30/2019,34.20458929
645,9/17/2013,34.23535714
646,6/25/2014,34.45525
647,10/7/2014,34.32107738
648,12/1/2020,34.13330134
649,10/10/2020,34.18129985
650,9/27/2020,33.94292485
651,10/16/2020,34.15693378
652,8/26/2021,34.2408497
653,9/17/2015,34.40810119
654,1/21/2021,34.16724628
655,7/11/2015,34.38276786
656,5/11/2021,34.25848735
657,10/12/2016,34.38195238
658,7/23/2016,34.52804762
659,7/14/2014,34.30414881
660,10/26/2015,34.59303571
661,10/27/2018,34.13509301
662,10/18/2012,34.14967857
663,4/18/2015,34.46314286
664,12/4/2016,34.37544048
665,6/1/2013,34.33352976
666,6/7/2021,34.24975223
667,7/2/2017,34.14525893
668,6/24/2014,34.45516667
669,3/14/2017,34.39632143
670,3/4/2018,31.82269444
671,11/6/2015,34.6987381
672,4/5/2021,34.25125372
673,9/8/2018,34.13876786
674,12/18/2016,34.17802976
675,2/7/2018,34.17400595
676,7/3/2020,34.23964658
677,9/13/2016,34.6184881
678,1/12/2019,34.20517857
