"","date","temp","day"
"321","2014-08-21","29.6702797619048",233
"322","2012-12-09","27.7050178571429",344
"323","2017-01-07","27.8843511904762",7
"324","2018-04-03","27.939375",93
"325","2014-05-24","29.3576607142857",144
"326","2016-08-08","29.2384404761905",221
"327","2016-01-28","27.6031607142857",28
"328","2017-04-18","28.0117827380952",108
"329","2019-12-01","29.0248459821429",335
"330","2021-08-24","29.2884248511905",236
"331","2016-11-09","28.9152916666667",314
"332","2014-03-21","27.4006547619048",80
"333","2015-03-10","27.0978452380952",69
"334","2018-09-07","28.7768571428571",250
"335","2014-03-10","27.3295297619048",69
"336","2014-11-19","28.697625",323
"337","2020-03-15","27.5279836309524",75
"338","2012-11-26","28.4386011904762",331
"339","2020-04-09","27.8600163690476",100
"340","2018-09-05","28.9547380952381",248
"341","2015-02-06","26.562619047619",37
"342","2020-09-04","29.739287202381",248
"343","2017-01-30","26.9442430555556",30
"344","2015-12-30","27.9899464285714",364
"345","2015-12-22","28.8414523809524",356
"346","2017-09-14","29.4649791666667",257
"347","2020-02-29","27.1785014880952",60
"348","2016-02-08","27.5116130952381",39
"349","2014-01-05","28.3111666666667",5
"350","2021-03-30","28.2247864583333",89
"351","2017-11-28","28.575875",332
"352","2018-09-21","29.0047916666667",264
"353","2013-10-12","28.5925833333333",285
"354","2014-12-12","28.2289642857143",346
"355","2014-02-17","27.0867916666667",48
"356","2015-11-22","28.9127023809524",326
"357","2021-05-10","28.5591369047619",130
"358","2016-04-18","28.4225416666667",109
"359","2019-06-04","29.2165915178571",155
"360","2016-08-08","29.2384404761905",221
"361","2014-01-13","27.7226130952381",13
"362","2017-05-10","29.1017738095238",130
"363","2018-03-07","27.5462291666667",66
"364","2019-11-23","29.1613407738095",327
"365","2012-03-18","27.5034642857143",78
"366","2014-07-31","28.7156369047619",212
"367","2018-10-28","29.1637514880952",301
"368","2013-04-14","28.3100654761905",104
"369","2015-07-05","29.0858869047619",186
"370","2016-09-15","29.8108125",259
"371","2014-06-03","29.7206488095238",154
"372","2013-12-29","28.4124404761905",363
"373","2017-08-26","29.215125",238
"374","2019-09-05","28.9018020833333",248
"375","2017-02-19","26.3206153846154",50
"376","2017-01-07","27.8843511904762",7
"377","2014-03-04","27.0999047619048",63
"378","2014-05-12","28.880630952381",132
"379","2016-01-19","27.747005952381",19
"380","2019-04-01","27.4127611607143",91
"381","2020-01-25","27.6085208333333",25
"382","2014-06-05","29.745380952381",156
"383","2013-09-19","29.2580833333333",262
"384","2017-04-07","27.3853571428571",97
"385","2013-09-17","29.3254821428571",260
"386","2015-03-04","27.1498988095238",63
"387","2015-06-09","29.7783273809524",160
"388","2021-02-12","28.0430014880952",43
"389","2016-08-30","29.2760714285714",243
"390","2013-04-10","28.3511547619048",100
"391","2017-05-31","29.3635386904762",151
"392","2019-11-13","29.3959776785714",317
"393","2012-12-03","28.0615178571429",338
"394","2018-01-27","27.701869047619",27
"395","2016-09-29","29.6941597222222",273
"396","2017-12-12","29.0283154761905",346
"397","2014-06-15","29.9300654761905",166
"398","2017-06-19","29.5859345238095",170
"399","2015-02-18","27.1673333333333",49
"400","2013-06-02","29.2466607142857",153
"401","2021-04-25","28.0404717261905",115
"402","2016-11-01","29.4219404761905",306
"403","2020-01-01","27.9905416666667",1
"404","2018-05-06","28.7464097222222",126
"405","2016-02-15","27.3037142857143",46
"406","2020-01-21","27.8382723214286",21
"407","2020-04-16","28.304165922619",107
"408","2021-06-07","29.004646577381",158
"409","2020-11-05","29.2550736607143",310
"410","2019-02-16","26.5303467261905",47
"411","2013-08-28","28.8980833333333",240
"412","2021-02-02","27.9025141369048",33
"413","2012-01-11","27.9634583333333",11
"414","2018-08-21","28.661119047619",233
"415","2012-08-20","29.3462321428571",233
"416","2016-10-16","29.4993166666667",290
"417","2019-06-08","29.077165922619",159
"418","2021-05-09","28.5598601190476",129
"419","2014-07-02","29.5725",183
"420","2016-10-21","29.070825",295
"421","2019-07-25","29.1872194940476",206
"422","2014-01-23","27.4007797619048",23
"423","2016-11-18","28.7797261904762",323
"424","2020-10-04","29.7097209821429",278
"425","2014-01-26","27.2502261904762",26
"426","2018-11-05","28.9859702380952",309
"427","2021-10-03","29.6369561011905",276
"428","2012-11-03","28.7485535714286",308
"429","2017-02-17","26.4890737179487",48
"430","2016-11-13","28.588119047619",318
"431","2012-02-02","27.8355297619048",33
"432","2014-03-07","27.3110952380952",66
"433","2017-01-29","26.9745833333333",29
